As on Wed| Dec 06 2017| 23:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Japanese Yen (JPY),JPY,BDT,0.7391
Japanese Yen (JPY),JPY,BBD,0.0178
Japanese Yen (JPY),JPY,BMD,0.0089
Japanese Yen (JPY),JPY,BRL,0.0288
Japanese Yen (JPY),JPY,BGN,0.0148
Japanese Yen (JPY),JPY,XOF,4.9506
Japanese Yen (JPY),JPY,XAF,4.9506
Japanese Yen (JPY),JPY,CLP,5.8247
Japanese Yen (JPY),JPY,CNY,0.0589
Japanese Yen (JPY),JPY,COP,26.8056
Japanese Yen (JPY),JPY,XPF,0.9006
Japanese Yen (JPY),JPY,CRC,5.0416
Japanese Yen (JPY),JPY,HRK,0.057
Japanese Yen (JPY),JPY,CZK,0.1934
Japanese Yen (JPY),JPY,DKK,0.0562
Japanese Yen (JPY),JPY,DOP,0.428
Japanese Yen (JPY),JPY,XCD,0.0241
Japanese Yen (JPY),JPY,EGP,0.1585
Japanese Yen (JPY),JPY,EEK,0.0089
Japanese Yen (JPY),JPY,FJD,0.0186
Japanese Yen (JPY),JPY,HKD,0.0696
Japanese Yen (JPY),JPY,HUF,2.372
Japanese Yen (JPY),JPY,ISK,0.9313
Japanese Yen (JPY),JPY,XDR,0.0063
Japanese Yen (JPY),JPY,INR,0.5749
Japanese Yen (JPY),JPY,IDR,120.6365
Japanese Yen (JPY),JPY,IRR,314.51
Japanese Yen (JPY),JPY,IQD,10.6525
Japanese Yen (JPY),JPY,ILS,0.0313
Japanese Yen (JPY),JPY,JMD,1.1163
Japanese Yen (JPY),JPY,JOD,0.0063
Japanese Yen (JPY),JPY,KES,0.9167
Japanese Yen (JPY),JPY,KWD,0.0027
Japanese Yen (JPY),JPY,LBP,13.4301
Japanese Yen (JPY),JPY,MYR,0.0363
Japanese Yen (JPY),JPY,MUR,0.3006
Japanese Yen (JPY),JPY,MXN,0.1681
Japanese Yen (JPY),JPY,MAD,0.0842
Japanese Yen (JPY),JPY,NZD,0.013
Japanese Yen (JPY),JPY,NOK,0.0737
Japanese Yen (JPY),JPY,OMR,0.0034
Japanese Yen (JPY),JPY,PEN,0.0288
Japanese Yen (JPY),JPY,PHP,0.4519
Japanese Yen (JPY),JPY,PLN,0.0318
Japanese Yen (JPY),JPY,QAR,0.0324
Japanese Yen (JPY),JPY,RON,0.0349
Japanese Yen (JPY),JPY,RUB,0.5274
Japanese Yen (JPY),JPY,SAR,0.0334
Japanese Yen (JPY),JPY,SGD,0.012
Japanese Yen (JPY),JPY,SKK,0.0089
Japanese Yen (JPY),JPY,ZAR,0.1205
Japanese Yen (JPY),JPY,KRW,9.7411
Japanese Yen (JPY),JPY,LKR,1.3665
Japanese Yen (JPY),JPY,SDG,0.0597
Japanese Yen (JPY),JPY,SEK,0.0751
Japanese Yen (JPY),JPY,CHF,0.0088
Japanese Yen (JPY),JPY,TWD,0.2674
Japanese Yen (JPY),JPY,THB,0.2906
Japanese Yen (JPY),JPY,TTD,0.06
Japanese Yen (JPY),JPY,TND,0.0221
Japanese Yen (JPY),JPY,TRY,0.0343
Japanese Yen (JPY),JPY,VEF,0.089
Japanese Yen (JPY),JPY,VND,202.5545
Japanese Yen (JPY),JPY,ZMK,0.0089
Pakistan Rupee (PKR),PKR,AUD,0.0125                        
Pakistan Rupee (PKR),PKR,CAD,0.0121                        
Pakistan Rupee (PKR),PKR,EUR,0.008                        
Pakistan Rupee (PKR),PKR,JPY,1.0648                        
Pakistan Rupee (PKR),PKR,PKR,1                        
Pakistan Rupee (PKR),PKR,AED,0.0348                        
Pakistan Rupee (PKR),PKR,GBP,0.0071                        
Pakistan Rupee (PKR),PKR,USD,0.0095                        
Pakistan Rupee (PKR),PKR,AFN,0.6539
Pakistan Rupee (PKR),PKR,ALL,1.0758
Pakistan Rupee (PKR),PKR,DZD,1.0939
Pakistan Rupee (PKR),PKR,ARS,0.1636
Pakistan Rupee (PKR),PKR,BSD,0.0095
Pakistan Rupee (PKR),PKR,BHD,0.0036
Pakistan Rupee (PKR),PKR,BDT,0.787
Pakistan Rupee (PKR),PKR,BBD,0.019
Pakistan Rupee (PKR),PKR,BMD,0.0095
Pakistan Rupee (PKR),PKR,BRL,0.0307
Pakistan Rupee (PKR),PKR,BGN,0.0157
Pakistan Rupee (PKR),PKR,XOF,5.2716
Pakistan Rupee (PKR),PKR,XAF,5.2716
Pakistan Rupee (PKR),PKR,CLP,6.2023
Pakistan Rupee (PKR),PKR,CNY,0.0628
Pakistan Rupee (PKR),PKR,COP,28.5433
Pakistan Rupee (PKR),PKR,XPF,0.959
Pakistan Rupee (PKR),PKR,CRC,5.3684
Pakistan Rupee (PKR),PKR,HRK,0.0607
Pakistan Rupee (PKR),PKR,CZK,0.2059
Pakistan Rupee (PKR),PKR,DKK,0.0598
Pakistan Rupee (PKR),PKR,DOP,0.4558
Pakistan Rupee (PKR),PKR,XCD,0.0256
Pakistan Rupee (PKR),PKR,EGP,0.1687
Pakistan Rupee (PKR),PKR,EEK,0.0095
Pakistan Rupee (PKR),PKR,FJD,0.0198
Pakistan Rupee (PKR),PKR,HKD,0.0741
Pakistan Rupee (PKR),PKR,HUF,2.5257
Pakistan Rupee (PKR),PKR,ISK,0.9916
Pakistan Rupee (PKR),PKR,XDR,0.0067
Pakistan Rupee (PKR),PKR,INR,0.6122
Pakistan Rupee (PKR),PKR,IDR,128.4569
Pakistan Rupee (PKR),PKR,IRR,334.8983
Pakistan Rupee (PKR),PKR,IQD,11.3431
Pakistan Rupee (PKR),PKR,ILS,0.0334
Pakistan Rupee (PKR),PKR,JMD,1.1887
Pakistan Rupee (PKR),PKR,JOD,0.0067
Pakistan Rupee (PKR),PKR,KES,0.9761
Pakistan Rupee (PKR),PKR,KWD,0.0029
Pakistan Rupee (PKR),PKR,LBP,14.3008
Pakistan Rupee (PKR),PKR,MYR,0.0387
Pakistan Rupee (PKR),PKR,MUR,0.3201
Pakistan Rupee (PKR),PKR,MXN,0.179
Pakistan Rupee (PKR),PKR,MAD,0.0896
Pakistan Rupee (PKR),PKR,NZD,0.0138
Pakistan Rupee (PKR),PKR,NOK,0.0784
Pakistan Rupee (PKR),PKR,OMR,0.0036
Pakistan Rupee (PKR),PKR,PEN,0.0307
Pakistan Rupee (PKR),PKR,PHP,0.4812
Pakistan Rupee (PKR),PKR,PLN,0.0339
Pakistan Rupee (PKR),PKR,QAR,0.0345
Pakistan Rupee (PKR),PKR,RON,0.0372
Pakistan Rupee (PKR),PKR,RUB,0.5615
Pakistan Rupee (PKR),PKR,SAR,0.0356
Pakistan Rupee (PKR),PKR,SGD,0.0128
Pakistan Rupee (PKR),PKR,SKK,0.0095
Pakistan Rupee (PKR),PKR,ZAR,0.1283
Pakistan Rupee (PKR),PKR,KRW,10.3726
Pakistan Rupee (PKR),PKR,LKR,1.4551
Pakistan Rupee (PKR),PKR,SDG,0.0635
Pakistan Rupee (PKR),PKR,SEK,0.0799
Pakistan Rupee (PKR),PKR,CHF,0.0094
