As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Euro (EUR),EUR,XPF,119.3317
Euro (EUR),EUR,CRC,662.8058
Euro (EUR),EUR,HRK,7.5329
Euro (EUR),EUR,CZK,25.6667
Euro (EUR),EUR,DKK,7.448
Euro (EUR),EUR,DOP,54.8185
Euro (EUR),EUR,XCD,3.1326
Euro (EUR),EUR,EGP,20.4976
Euro (EUR),EUR,EEK,1.1614
Euro (EUR),EUR,FJD,2.4313
Euro (EUR),EUR,HKD,9.059
Euro (EUR),EUR,HUF,312.2853
Euro (EUR),EUR,ISK,123.5095
Euro (EUR),EUR,XDR,0.8276
Euro (EUR),EUR,INR,74.9735
Euro (EUR),EUR,IDR,15676.3402
Euro (EUR),EUR,IRR,40605.7934
Euro (EUR),EUR,IQD,1354.6915
Euro (EUR),EUR,ILS,4.0812
Euro (EUR),EUR,JMD,146.779
Euro (EUR),EUR,JOD,0.8235
Euro (EUR),EUR,KES,120.5453
Euro (EUR),EUR,KWD,0.3515
Euro (EUR),EUR,LBP,1751.632
Euro (EUR),EUR,MYR,4.9191
Euro (EUR),EUR,MUR,40.2698
Euro (EUR),EUR,MXN,22.3829
Euro (EUR),EUR,MAD,11.0583
Euro (EUR),EUR,NZD,1.6814
Euro (EUR),EUR,NOK,9.4937
Euro (EUR),EUR,OMR,0.4469
Euro (EUR),EUR,PEN,3.7952
Euro (EUR),EUR,PHP,59.5704
Euro (EUR),EUR,PLN,4.2478
Euro (EUR),EUR,QAR,4.2283
Euro (EUR),EUR,RON,4.5841
Euro (EUR),EUR,RUB,68.666
Euro (EUR),EUR,SAR,4.3694
Euro (EUR),EUR,SGD,1.585
Euro (EUR),EUR,SKK,1.1614
Euro (EUR),EUR,ZAR,16.5452
Euro (EUR),EUR,KRW,1295.1094
Euro (EUR),EUR,LKR,178.3843
Euro (EUR),EUR,SDG,7.7495
Euro (EUR),EUR,SEK,9.8125
Euro (EUR),EUR,CHF,1.1622
